fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2025-09-30,BA,1.1820293445859626,0.23897642367697727,1.055011564893383,-19.1849696969697,-6.491354466858789,0.1551095498690201,0.31113133151349714,1173.1380386040162,,,0.06213528955816225
2025-06-30,BA,1.2314366971057111,0.25770971985760716,1.021248066013409,-48.07769347496206,0.20985915492957746,0.1466542031975245,0.2310564237988458,1579.7007241736046,-0.003945332645693657,0.1857359635811836,0.13329709143471288
2025-03-31,BA,1.2316167248731356,0.31567522719817853,1.0212468209643821,-48.06586466165413,1.1073446327683616,0.12457985609671936,0.1915646014122613,1905.3624589779652,-0.0001980906616228098,0.009323308270676692,0.0654411148886016
2024-12-31,BA,1.318506767753765,0.3997095119388533,1.0250314972212096,-41.0125383828045,-4.421192052980133,0.09748469906563573,0.19216447744146203,1899.4145268663813,-0.024692542353370043,0.9879733879222109,0.17123378437535908
2024-09-30,BA,1.1247276464542653,0.335344295991778,1.1711173245215876,-6.8468495244565215,-7.549450549450549,0.12956171248048223,0.2561284361838711,1425.066288766045,-0.04483822942009514,0.2621433423913043,0.15831517637484982
2024-06-30,BA,1.1843009417365207,0.358718824381662,1.1259949551569506,-8.939808633733868,-1.25111441307578,0.11817544843049327,0.18234669219364705,2001.6814980793854,-0.01008267937219731,0.08005117935024478,0.0773123182910328
2024-03-31,BA,1.1423363143108367,0.28434021746123656,1.1265280628178818,-8.907049209242166,0.335676625659051,0.12320424734540912,0.17594134489822813,2074.5550183848563,-0.0026397192231046073,0.020871303427597153,0.059489087557461864
2023-12-31,BA,1.14033623091613,0.3803416573617039,1.1257408110238518,-8.950269831137932,0.985,0.1607012524450413,0.2423345581319522,1506.1822086524528,-0.0002189589233059878,0.0017408460511808739,0.05935574866537035
2023-09-30,BA,1.149072661236595,0.27858846790311836,1.124492668359634,-9.02612230258832,-0.8675721561969439,0.1348217543807389,0.21439244289115128,1702.4853818439549,-0.012198300578637335,0.09791380237910216,0.08389507734122456
2023-06-30,BA,1.1665580607324384,0.2920956601068682,1.1149554068292105,-9.684023973706257,0.355877616747182,0.1465490376482111,0.22749674420980057,1604.4185654955663,-0.0011055544838025138,0.009602371592446994,0.06110387064147009
2023-03-31,BA,1.1636295583360068,0.36689124157844083,1.1135631880422745,-9.79049522826928,0.2357473035439137,0.13143670194430387,0.20397946575290116,1789.3958034097298,-0.0031170469463941267,0.027405210214083053,0.06090863714967621
2022-12-31,BA,1.2162195176120463,0.45010660507262473,1.1155944566010212,-9.629666939495058,-0.02689873417721519,0.14573304157549233,0.23205077350257836,1572.9316239316238,-0.004835886214442013,0.041742743814140906,0.0644146344113722
2022-09-30,BA,1.219074293110759,0.43665335088933027,1.1282004681661553,-8.768461494999718,-4.043478260869565,0.1159874380261417,0.21043659200020057,1734.4892184893972,-0.02404803791855072,0.18690321487089667,0.1330565567895524
2022-06-30,BA,1.2500147407398672,0.38595974009127465,1.1091755917891333,-10.093363782912412,1.58,0.1231260933428797,0.18231415093159153,2002.0387783115991,0.0011809948405287905,-0.010746910263299301,0.06666764927154015
2022-03-31,BA,1.29770356950497,0.3228345492826715,1.1124292162797034,-9.810949473957656,-1.5682539682539682,0.10302575091494172,0.17102444280183915,2134.197860962567,-0.009145735303863742,0.08065982595142226,0.08517681671056748
2021-12-31,BA,1.325324421894819,0.3351790418577422,1.1071511057220393,-10.227215147676512,-6.110438729198185,0.10676857786246319,0.1756720754094617,2077.7348884234852,-0.030053698250476355,0.2776185079005267,0.1716882946483993
2021-09-30,BA,1.3627916195450678,0.3714542211236898,1.0971493946038706,-11.157340720221606,0.5366218236173393,0.10404096808901843,0.16570814559751884,2202.667821089087,-0.000898900889367092,0.009141274238227148,0.07418610780843048
2021-06-30,BA,1.3499161225970258,0.32087640551323904,1.1106858696746904,-9.91607720896775,1.8157503714710252,0.11413032530969887,0.1782540128852431,2047.6397366435774,0.003807029912377883,-0.03398873036806138,0.07530236800749551
2021-03-31,BA,1.3343234103145998,0.28202732167489875,1.118912253807445,-9.29648909070772,0.15758468335787923,0.10142300129969674,0.1669932743020274,2185.71676928649,-0.003739127536908055,0.031066563296046075,0.07228822720571848
2020-12-31,BA,1.393698441796517,0.29279330889092575,1.1188081716359046,-9.293022493994322,-11.3567335243553,0.10060077825103854,0.17705439637765405,2061.5133397843515,-0.024589840668875217,0.20424765232583533,0.15337038491818394
2020-09-30,BA,1.4193073114715027,0.3558776690825181,1.0716416244473246,-14.619236951188563,-0.4385692068429238,0.08768394094046297,0.1505962442934189,2423.699221136225,-0.00858236027309765,0.11707977328483207,0.11149370554382984
2020-06-30,BA,1.4086741203693691,0.5564542289310352,1.069883098384007,-14.935630410559698,-5.189873417721519,0.07249250945527777,0.15488685891695025,2356.558862076941,-0.02732820865464905,0.38150338561755376,0.18289036401297426
2020-03-31,BA,1.1746947154557577,0.45293221307485554,1.065420234142932,-15.77185721676151,-4.736641221374046,0.11818277127380744,0.2095226193451637,1742.0553501133247,-0.016529792067097676,0.24469736161407138,0.15899499022567698
2019-12-31,BA,1.050528197961197,0.32309478789871754,1.062114125350795,-16.470349309504467,-8.677685950413224,0.13403928905519177,0.2440943854245517,1495.323210180185,-0.007558465855940131,0.11721016595102704,0.08697362780354893
2019-09-30,BA,1.1068092241360539,0.3738213966857566,1.0287259234679256,-33.14067055393586,6.798029556650246,0.1507262552979683,0.23091199388637945,1580.6887890786597,0.00880103772304258,-0.28352769679300294,0.11995602734937093
2019-06-30,BA,1.0316957554588941,0.347579429216067,1.0391490642399475,-24.65313791807591,-21.253246753246753,0.12474160667189393,0.25992816679320213,1404.2341178453069,-0.023300940116108695,0.5527996993611425,0.15211305034983927
2019-03-31,BA,1.070489744663039,0.3335406326616038,0.9980700280345066,959.816,19.96747967479675,0.19060136928183413,0.2851657513500283,1279.9573520733866,0.0178771972148508,17.192,0.3172249877494402
2018-12-31,BA,1.0764799607795073,0.36325530089471747,0.9965064460331121,344.98230088495575,26.60759493670886,0.24148978774529437,0.35306151805264757,1033.814169307379,0.029175436055181112,10.100294985250738,0.3405769044656327
2018-09-30,BA,1.1041212838561014,0.3692912096906204,1.0105443096486102,-89.88983708301008,21.12264150943396,0.21931117487506432,0.3391469744350237,1076.2295627376427,0.02060893606258558,-1.8332040341349884,0.22003995142163463
